"","sub","Question","Response","age.cat"
"1254","8818957","Question_1","Sì","Adults"
"1255","8818957","Question_2","nel giocare insieme ho pensato a scegliere sempre il tesoro piùgrande perchè quasi sicuramente anche il mio compagno sarà d'accordo mentre in quello a caso quando il mini tesoro era troppo basso sceglievo il super rischiando","Adults"
"1256","8818957","Question_3","Sì","Adults"
"1257","8818957","Question_4","si anche qui quando il mini tesoro era abbastanza alto sceglievo quello nella speranza che il mio compagno nonabbia applicato la stessa strategia","Adults"
"1258","8818957","Question_5","10","Adults"
"1259","8818957","Question_6","10","Adults"
"1260","8818957","Question_7","3","Adults"
"1261","8818957","Question_8","8","Adults"
"1262","8818805","Question_1","No","Adults"
"1263","8818805","Question_3","No","Adults"
"1264","8818805","Question_5","10","Adults"
"1265","8818805","Question_6","1","Adults"
"1266","8818805","Question_7","9","Adults"
"1267","8818805","Question_8","2","Adults"
"1268","8818798","Question_1","No","Adults"
"1269","8818798","Question_3","Sì","Adults"
"1270","8818798","Question_4","nel gioco ""solo se soli"" ho scelto il super tesoro quando il mini tesoro era piu o meno maggioe di 5 monete perchè ho supposto che nel momento in cui il mini tesoro era ""competitivo"" rispetto alle 15 moenete del super tesoro l'altra persona avrebbe scelto quello e quindi io sarei riuscito a vincere il super tesoro","Adults"
"1271","8818798","Question_5","10","Adults"
"1272","8818798","Question_6","0","Adults"
"1273","8818798","Question_7","10","Adults"
"1274","8818798","Question_8","5","Adults"
"1275","8784408","Question_1","Sì","Adults"
"1276","8784408","Question_2","Nel gioco ""solo se insieme"" ho sempre scelto la sacca con 15 monete perché ho pensato che chiunque l'avrebbe fatto. Nel gioco ""solo se a caso"" ho rischiato la sacca con 15 monete solo quando nell'altro sacchetto c'erano meno di 8 monete","Adults"
"1277","8784408","Question_3","Sì","Adults"
"1278","8784408","Question_4","Nel gioco ""solo se soli"" in alcuni casi ho provato a pensare cosa avrebbe fatto il mio avversario: nella sacca che avrei vinto con certezza, con montepremi intermedi percepivo di tentare la sorte più facilmente scegliendo l'altra sacca (quella da 15)","Adults"
"1279","8784408","Question_5","10","Adults"
"1280","8784408","Question_6","9","Adults"
"1281","8784408","Question_7","10","Adults"
"1282","8784408","Question_8","9","Adults"
"1283","8784409","Question_1","No","Adults"
"1284","8784409","Question_3","No","Adults"
"1285","8784409","Question_5","10","Adults"
"1286","8784409","Question_6","0","Adults"
"1287","8784409","Question_7","10","Adults"
"1288","8784409","Question_8","0","Adults"
"1289","8774373","Question_1","No","Adults"
"1290","8774373","Question_3","Sì","Adults"
"1291","8774373","Question_4","Nel gioco SOLO SE SOLI ho preso qualche decisione a caso nel caso in cui le monete erano superiori a 9","Adults"
"1292","8774373","Question_5","3","Adults"
"1293","8774373","Question_6","8","Adults"
"1294","8774373","Question_7","6","Adults"
"1295","8774373","Question_8","6","Adults"
"1296","8774376","Question_1","Sì","Adults"
"1297","8774376","Question_2","nel gioco se a caso ho tirato completamente a caso,più spesso scegliendo il super tesoro","Adults"
"1298","8774376","Question_3","Sì","Adults"
"1299","8774376","Question_4","nel gioco se a caso tiro totalmente a caso, nel gioco se da soli ho provato a scegliere il super tesoro meno volte possibile","Adults"
"1300","8774376","Question_5","10","Adults"
"1301","8774376","Question_6","10","Adults"
"1302","8774376","Question_7","10","Adults"
"1303","8774376","Question_8","10","Adults"
"1304","8772682","Question_1","Sì","Adults"
"1305","8772682","Question_2","In ""solo se insieme"" ho preso le mie scelte seguendo il ragionamento per me più giusto e cercando di considerare cosa avrebbe potuto pensare un altro giocatore","Adults"
"1306","8772682","Question_3","Sì","Adults"
"1307","8772682","Question_4","Nel gioco ""solo se soli"" ho scelto cercando di capire cosa avrebbe risposto un altro giocatore e rispondendo l'opposto","Adults"
"1308","8772682","Question_5","10","Adults"
"1309","8772682","Question_6","10","Adults"
"1310","8772682","Question_7","10","Adults"
"1311","8772682","Question_8","10","Adults"
"1312","8772680","Question_1","No","Adults"
"1313","8772680","Question_3","No","Adults"
"1314","8772680","Question_5","4","Adults"
"1315","8772680","Question_6","4","Adults"
"1316","8772680","Question_7","4","Adults"
"1317","8772680","Question_8","4","Adults"
"1318","8772681","Question_1","Sì","Adults"
"1319","8772681","Question_2","nel ""solo se insieme"" ho scelto provando a pensare cosa potesse scegliere il mio coetaneo","Adults"
"1320","8772681","Question_3","No","Adults"
"1321","8772681","Question_5","2","Adults"
"1322","8772681","Question_6","10","Adults"
"1323","8772681","Question_7","3","Adults"
"1324","8772681","Question_8","10","Adults"
"1325","8766945","Question_1","Sì","Adults"
"1326","8766945","Question_2","Le scelte sono cambiate in base a quanto mi conveniva perdere nel caso del gioco ""solo se a caso"", mentre per quanto riguarda il gioco ""solo se insieme"" ho pensato a come avrei ragionato io e poi ho fatto il contrario","Adults"
"1327","8766945","Question_3","Sì","Adults"
"1328","8766945","Question_4","Nel gioco ""solo se a caso"" ho scelto in base a quanto mi conveniva perdere, mentre nel gioco ""solo se soli"" ho pensato a come avrei ragionato io e ho fatto il contrario","Adults"
"1329","8766945","Question_5","3","Adults"
"1330","8766945","Question_6","8","Adults"
"1331","8766945","Question_7","4","Adults"
"1332","8766945","Question_8","6","Adults"
"1333","8766950","Question_1","Non so","Adults"
"1334","8766950","Question_3","No","Adults"
"1335","8766950","Question_5","10","Adults"
"1336","8766950","Question_6","8","Adults"
"1337","8766950","Question_7","7","Adults"
"1338","8766950","Question_8","7","Adults"
"1339","8766972","Question_1","No","Adults"
"1340","8766972","Question_3","Sì","Adults"
"1341","8766972","Question_5","10","Adults"
"1342","8766972","Question_6","8","Adults"
"1343","8766972","Question_7","10","Adults"
"1344","8766972","Question_8","8","Adults"
"1345","8766952","Question_1","Sì","Adults"
"1346","8766952","Question_2","L'andamento  del gioco dipende prima dalle probabilità, mentre nel secondo gioco si può parlare di scelta razionale.","Adults"
"1347","8766952","Question_3","Sì","Adults"
"1348","8766952","Question_4","Rispetto al primo gioco, ho cercato di assumere un tipo di pensieri che riguardassero il vantaggio.","Adults"
"1349","8766952","Question_5","5","Adults"
"1350","8766952","Question_6","5","Adults"
"1351","8766952","Question_7","7","Adults"
"1352","8766952","Question_8","3","Adults"
"1353","8766951","Question_1","Sì","Adults"
"1354","8766951","Question_2","NEL GIOCO ?SOLO SE INSIEME? SE IL MINI TESORO ERA MEDIO BASSO VALUTAVO FOSSE COME SCELTA OVVIA E CONDIVISIBILE IL SUPER TESORO","Adults"
"1355","8766951","Question_3","No","Adults"
"1356","8766951","Question_5","6","Adults"
"1357","8766951","Question_6","1","Adults"
"1358","8766951","Question_7","6","Adults"
"1359","8766951","Question_8","2","Adults"
"1360","8766948","Question_1","Sì","Adults"
"1361","8766948","Question_2","Nel ""solo se insieme"" ho scelto molte volte il super premio, prevedendo che anche l'altra persona avrebbe preso la stessa decisione ","Adults"
"1362","8766948","Question_3","Sì","Adults"
"1363","8766948","Question_4","Nel gioco ""solo se a caso"" ho rischiato più spesso quando c'era una grande differenza fra le due possibili vicinte","Adults"
"1364","8766948","Question_5","8","Adults"
"1365","8766948","Question_6","9","Adults"
"1366","8766948","Question_7","9","Adults"
"1367","8766948","Question_8","7","Adults"
"1368","8766944","Question_1","Non so","Adults"
"1369","8766944","Question_3","Non so","Adults"
"1370","8766944","Question_5","9","Adults"
"1371","8766944","Question_6","1","Adults"
"1372","8766944","Question_7","7","Adults"
"1373","8766944","Question_8","5","Adults"
"1374","8766943","Question_1","No","Adults"
"1375","8766943","Question_3","No","Adults"
"1376","8766943","Question_5","7","Adults"
"1377","8766943","Question_6","4","Adults"
"1378","8766943","Question_7","10","Adults"
"1379","8766943","Question_8","0","Adults"
"1380","8766946","Question_1","Non so","Adults"
"1381","8766946","Question_3","No","Adults"
"1382","8766946","Question_5","8","Adults"
"1383","8766946","Question_6","8","Adults"
"1384","8766946","Question_7","4","Adults"
"1385","8766946","Question_8","7","Adults"
"1386","8766947","Question_1","No","Adults"
"1387","8766947","Question_3","Sì","Adults"
"1388","8766947","Question_4","ho cercato di prendere più mini tesori","Adults"
"1389","8766947","Question_5","9","Adults"
"1390","8766947","Question_6","2","Adults"
"1391","8766947","Question_7","6","Adults"
"1392","8766947","Question_8","7","Adults"
"1393","8766702","Question_1","Sì","Adults"
"1394","8766702","Question_2","Nel gioco ""Solo se insieme"" sono consapevole che anche l'altra persona sceglierà il super tesoro perchè andrà bene ad entrambi. Nel gioco ""Solo se a caso"", invece, entra in gioco la probabilità, quindi valuto quando mi conviene rischiare il 50/50 per il super tesoro o quando il mini tesoro mi conviene a prescindere","Adults"
"1395","8766702","Question_3","Non so","Adults"
"1396","8766702","Question_4","Non proprio, perchè nel primo caso c'è in gioco la probabilità, mentre nel secondo caso la scelta dell'altro giocatore,","Adults"
"1397","8766702","Question_5","10","Adults"
"1398","8766702","Question_6","10","Adults"
"1399","8766702","Question_7","7","Adults"
"1400","8766702","Question_8","8","Adults"
"1401","8766703","Question_1","Sì","Adults"
"1402","8766703","Question_2","nel gioco ""solo se insieme"" ho scelto piu spesso il super tesoro ","Adults"
"1403","8766703","Question_3","No","Adults"
"1404","8766703","Question_5","8","Adults"
"1405","8766703","Question_6","8","Adults"
"1406","8766703","Question_7","9","Adults"
"1407","8766703","Question_8","5","Adults"
"1408","8766696","Question_1","Sì","Adults"
"1409","8766696","Question_2","Nel secondo ho pensato maggiormente a cosa poteva aver scelto l'altra persona. Nel primo era una mera questione di probabilità, quindi ho rischiato","Adults"
"1410","8766696","Question_3","Sì","Adults"
"1411","8766696","Question_4","Nel secondo ho pensato maggiormente a cosa avrebbe potuto rispondere l'altra persona, in modo tale da dare la risposta opposta. ","Adults"
"1412","8766696","Question_5","6","Adults"
"1413","8766696","Question_6","4","Adults"
"1414","8766696","Question_7","10","Adults"
"1415","8766696","Question_8","5","Adults"
"1416","8766701","Question_1","Sì","Adults"
"1417","8766701","Question_2","In solo se a caso ho scelto il mini tesoro con il numero di monete oltre la metà del super tesoro, in solo se insieme ho scelto il mini tesoro quando era sotto la metà del super tesoro","Adults"
"1418","8766701","Question_3","Sì","Adults"
"1419","8766701","Question_4","In solo se soli ho cercato di fare la scelta teoricamente meno conveniente","Adults"
"1420","8766701","Question_5","8","Adults"
"1421","8766701","Question_6","8","Adults"
"1422","8766701","Question_7","2","Adults"
"1423","8766701","Question_8","8","Adults"
"1424","8766705","Question_1","Sì","Adults"
"1425","8766705","Question_2","In ""solo se a caso""  la probabilità di estrarre la biglia corretta era del 50%, abbastanza per giustificare il rischio. In solo se insieme ho scelto spesso il super tesoro perchè davo per scontato che la persona accettasse il rischio sia di scegliere il super tesoro sia di scegliere un valore che fosse comunque alto(il più possibile vicino al super tesoro)","Adults"
"1426","8766705","Question_3","Sì","Adults"
"1427","8766705","Question_4","si, ho scelto quasi sempre il super tesoro in solo se soli. Ho presupposto l'altra persona non fosse disposta a scegliere il super tesoro se presentata con un valore molto vicino","Adults"
"1428","8766705","Question_5","10","Adults"
"1429","8766705","Question_6","5","Adults"
"1430","8766705","Question_7","10","Adults"
"1431","8766705","Question_8","10","Adults"
"1432","8766697","Question_1","No","Adults"
"1433","8766697","Question_3","Sì","Adults"
"1434","8766697","Question_4","in solo se insieme ho scelto il super tesoro solo se il mini tesoro era molto scarso, in solo se soli ho fatto il ragionamento inverso","Adults"
"1435","8766697","Question_5","10","Adults"
"1436","8766697","Question_6","6","Adults"
"1437","8766697","Question_7","10","Adults"
"1438","8766697","Question_8","8","Adults"
"1439","8766704","Question_1","Sì","Adults"
"1440","8766704","Question_2","da sola posso rischiare, se si tratta di soldi altrui non mi permetto","Adults"
"1441","8766704","Question_3","Sì","Adults"
"1442","8766704","Question_4","Con i soldi degli altri non rischio","Adults"
"1443","8766704","Question_5","5","Adults"
"1444","8766704","Question_6","8","Adults"
"1445","8766704","Question_7","5","Adults"
"1446","8766704","Question_8","8","Adults"
"1447","8766699","Question_1","No","Adults"
"1448","8766699","Question_3","No","Adults"
"1449","8766699","Question_5","10","Adults"
"1450","8766699","Question_6","0","Adults"
"1451","8766699","Question_7","10","Adults"
"1452","8766699","Question_8","0","Adults"
"1453","8766698","Question_1","Sì","Adults"
"1454","8766698","Question_2","Meno azzardate nel gioco ""solo se a caso""","Adults"
"1455","8766698","Question_3","Sì","Adults"
"1456","8766698","Question_4","in ""solo se soli"" di solito scehlievo sempre il mini tesoro","Adults"
"1457","8766698","Question_5","2","Adults"
"1458","8766698","Question_6","3","Adults"
"1459","8766698","Question_7","3","Adults"
"1460","8766698","Question_8","8","Adults"
"1461","8766700","Question_1","Sì","Adults"
"1462","8766700","Question_2","mi fido meno del caso che di un compagno casuale","Adults"
"1463","8766700","Question_3","Sì","Adults"
"1464","8766700","Question_4","mi fido di più di un compagno piuttosto che del caso","Adults"
"1465","8766700","Question_5","7","Adults"
"1466","8766700","Question_6","10","Adults"
"1467","8766700","Question_7","4","Adults"
"1468","8766700","Question_8","6","Adults"
"1469","8765802","Question_1","Sì","Adults"
"1470","8765802","Question_2","Solo se insieme è più semplice scegliere il super tesoro perché sai che l'altra persona non sceglierà casualmente","Adults"
"1471","8765802","Question_3","Sì","Adults"
"1472","8765802","Question_4","Solo se soli non è aleatoria la scelta dell'altro. Quindi ho pensato al caso peggiore e se il minitesoro era più basso di 7 ho scelto questo perché immagino che l'altro scelga il super","Adults"
"1473","8765802","Question_5","9","Adults"
"1474","8765802","Question_6","9","Adults"
"1475","8765802","Question_7","5","Adults"
"1476","8765802","Question_8","9","Adults"
"1477","8765800","Question_1","Sì","Adults"
"1478","8765800","Question_2","Nel caso di un compagno ho rischiato di più","Adults"
"1479","8765800","Question_3","Sì","Adults"
"1480","8765800","Question_4","Nel caso di un compagno ho rischiato di più","Adults"
"1481","8765800","Question_5","8","Adults"
"1482","8765800","Question_6","8","Adults"
"1483","8765800","Question_7","9","Adults"
"1484","8765800","Question_8","5","Adults"
"1485","8758719","Question_1","No","Adults"
"1486","8758719","Question_3","No","Adults"
"1487","8758719","Question_5","7","Adults"
"1488","8758719","Question_6","8","Adults"
"1489","8758719","Question_7","9","Adults"
"1490","8758719","Question_8","7","Adults"
"1491","8758610","Question_1","Sì","Adults"
"1492","8758610","Question_2","in solo se a caso ho considerato un valore atteso di 7.5 monete per il super premio e preso l'altro solo se maggiore o uguale a 8","Adults"
"1493","8758610","Question_3","Sì","Adults"
"1494","8758610","Question_4","in solo se a caso ho considerato un valore atteso di 7.5 monete e preso l'altro premio se e solo se maggiore o uguale a 8, in solo se soli ho prediletto il super premio per massimizzare il guadagno rispetto agli altri, tranne per alti valori del premio piccolo","Adults"
"1495","8758610","Question_5","7","Adults"
"1496","8758610","Question_6","7","Adults"
"1497","8758610","Question_7","7","Adults"
"1498","8758610","Question_8","9","Adults"
"1499","8758613","Question_1","Sì","Adults"
"1500","8758613","Question_2","ho puntato sul sacchetto grande nel solo se insieme","Adults"
"1501","8758613","Question_3","No","Adults"
"1502","8758613","Question_5","5","Adults"
"1503","8758613","Question_6","7","Adults"
"1504","8758613","Question_7","9","Adults"
"1505","8758613","Question_8","8","Adults"
"1506","8758611","Question_1","Sì","Adults"
"1507","8758611","Question_2","Giocando con un'altra persona ho immaginato cosa farebbe l'altro giocatore mentre nel gioco in singolo mi sono solo preoccupato della probabilità e del rischio di vincere o perdere","Adults"
"1508","8758611","Question_3","Sì","Adults"
"1509","8758611","Question_4","anche qui pensando a cosa sceglierebbe l'altro nel caso del gioco multiplayer","Adults"
"1510","8758611","Question_5","10","Adults"
"1511","8758611","Question_6","10","Adults"
"1512","8758611","Question_7","10","Adults"
"1513","8758611","Question_8","5","Adults"
"1514","8758609","Question_1","Sì","Adults"
"1515","8758609","Question_2","Nel gioco solo se insieme ho cercato di capire cosa avrebbe fatto il mio avversario, nel gioco solo se a caso ho scelto di giocare con il caso solo nel caso in cui la vincita del piccolo tesoro fosse bassa.","Adults"
"1516","8758609","Question_3","Sì","Adults"
"1517","8758609","Question_4","Nel gioco solo se a caso ho giocato con la casualità, nel gioco solo se soli ho pensato a cosa avrebbe scelto il mio avversario","Adults"
"1518","8758609","Question_5","7","Adults"
"1519","8758609","Question_6","10","Adults"
"1520","8758609","Question_7","10","Adults"
"1521","8758609","Question_8","8","Adults"
"1522","8750281","Question_1","Sì","Adults"
"1523","8750281","Question_3","Sì","Adults"
"1524","8750281","Question_4","Mi sono immedisimato nell'altra persona per decidere, in ""solo a caso"" ho ragionato per statistica","Adults"
"1525","8750281","Question_5","7","Adults"
"1526","8750281","Question_6","7","Adults"
"1527","8750281","Question_7","5","Adults"
"1528","8750281","Question_8","10","Adults"
"1529","8750278","Question_1","Sì","Adults"
"1530","8750278","Question_2","nel primo gioco sono cambiate per il caso, nel secondo perchè stavo giocando con un'altra persona","Adults"
"1531","8750278","Question_3","No","Adults"
"1532","8750278","Question_5","10","Adults"
"1533","8750278","Question_6","10","Adults"
"1534","8750278","Question_7","10","Adults"
"1535","8750278","Question_8","10","Adults"
"1536","8750033","Question_1","No","Adults"
"1537","8750033","Question_3","No","Adults"
"1538","8750033","Question_5","8","Adults"
"1539","8750033","Question_6","8","Adults"
"1540","8750033","Question_7","8","Adults"
"1541","8750033","Question_8","8","Adults"
"1542","8750031","Question_1","No","Adults"
"1543","8750031","Question_3","No","Adults"
"1544","8750031","Question_5","10","Adults"
"1545","8750031","Question_6","8","Adults"
"1546","8750031","Question_7","9","Adults"
"1547","8750031","Question_8","9","Adults"
"1548","8750034","Question_1","Sì","Adults"
"1549","8750034","Question_2","Nel gioco solo se a caso ho scelto le sacche che avevano meno soldi nel tesoro sicuro rispetto al gioco solo se insieme","Adults"
"1550","8750034","Question_3","Sì","Adults"
"1551","8750034","Question_4","Nel gioco solo se a caso ho scelto le sacche con più soldi sicuri, mentre nel gioco solo se soli ho scelto più frequentemente il super tesoro ","Adults"
"1552","8750034","Question_5","9","Adults"
"1553","8750034","Question_6","9","Adults"
"1554","8750034","Question_7","9","Adults"
"1555","8750034","Question_8","9","Adults"
"1556","8743740","Question_1","Sì","Adults"
"1557","8743740","Question_2","giocando a solo se insieme sceglievo il grande tesoro solo se il piccolo tesoro aveva un valore molto più basso di 15","Adults"
"1558","8743740","Question_3","Non so","Adults"
"1559","8743740","Question_5","8","Adults"
"1560","8743740","Question_6","6","Adults"
"1561","8743740","Question_7","4","Adults"
"1562","8743740","Question_8","9","Adults"
"1563","8743741","Question_1","Sì","Adults"
"1564","8743741","Question_2","Perchè nel secondo la vittoria dipende dagli altri","Adults"
"1565","8743741","Question_3","Sì","Adults"
"1566","8743741","Question_4","Perchè non vinco da solo","Adults"
"1567","8743741","Question_5","7","Adults"
"1568","8743741","Question_6","7","Adults"
"1569","8743741","Question_7","3","Adults"
"1570","8743741","Question_8","7","Adults"
"1571","8743738","Question_1","Sì","Adults"
"1572","8743738","Question_2","Nel ""solo se a caso"" ho puntato a cercare di prendere più monete senza dar troppo spazio alla casualità delle biglie","Adults"
"1573","8743738","Question_3","No","Adults"
"1574","8743738","Question_5","7","Adults"
"1575","8743738","Question_6","6","Adults"
"1576","8743738","Question_7","8","Adults"
"1577","8743738","Question_8","5","Adults"
"1578","8743736","Question_1","Sì","Adults"
"1579","8743736","Question_2","Quando ho giocato da sola ho pensato al mio guadagno puntando di più sui mini tesori, sapendo che li avrei sempre vinti. Nel caso del gioco insieme invece sono stata condizionata dalla scelta che avrebbe potuto fare l'altro.","Adults"
"1580","8743736","Question_3","No","Adults"
"1581","8743736","Question_5","3","Adults"
"1582","8743736","Question_6","5","Adults"
"1583","8743736","Question_7","10","Adults"
"1584","8743736","Question_8","0","Adults"
"1585","8743737","Question_1","No","Adults"
"1586","8743737","Question_3","No","Adults"
"1587","8743737","Question_5","10","Adults"
"1588","8743737","Question_6","3","Adults"
"1589","8743737","Question_7","10","Adults"
"1590","8743737","Question_8","3","Adults"
"1591","8728607","Question_1","No","Adults"
"1592","8728607","Question_3","No","Adults"
"1593","8728607","Question_5","10","Adults"
"1594","8728607","Question_6","10","Adults"
"1595","8728607","Question_7","10","Adults"
"1596","8728607","Question_8","10","Adults"
"1597","8728577","Question_1","Sì","Adults"
"1598","8728577","Question_2","Nel ""Solo se insieme"" ho sempre cliccato sul super premio, immaginando che anche il mio compagno abbia fatto lo stesso. Nel ""Solo se a caso"", invece, mi sono basata sul caso e quindi la mia scelta è dipesa dal contenuto del mini premio, confrontato col super premio.","Adults"
"1599","8728577","Question_3","Sì","Adults"
"1600","8728577","Question_4","Nel ""Solo se a caso"" ho usato la stessa ""strategia"" della domanda precedente; nel ""Solo se soli"" ho giocato immaginando quello che avrebbe fatto il mio compagno, a volte lasciandogli la vincita del super premio, e assicurandomi io il mini premio, altre volte rischiando il col super premio, sperando che cliccasse sul mini. Quando il mini premio aveva un valore abbastanza alto e vicino al super premio ho scelto sempre il mini premio.","Adults"
"1601","8728577","Question_5","10","Adults"
"1602","8728577","Question_6","10","Adults"
"1603","8728577","Question_7","8","Adults"
"1604","8728577","Question_8","6","Adults"
"1605","8728615","Question_1","No","Adults"
"1606","8728615","Question_3","No","Adults"
"1607","8728615","Question_5","7","Adults"
"1608","8728615","Question_6","5","Adults"
"1609","8728615","Question_7","9","Adults"
"1610","8728615","Question_8","5","Adults"
"1611","8728576","Question_1","Sì","Adults"
"1612","8728576","Question_3","No","Adults"
"1613","8728576","Question_5","0","Adults"
"1614","8728576","Question_6","0","Adults"
"1615","8728576","Question_7","9","Adults"
"1616","8728576","Question_8","9","Adults"
"1617","8728567","Question_1","Sì","Adults"
"1618","8728567","Question_2","nel gioco ""solo se a caso"" sceglievo il mini tesoro quando le monete superavano la metà di 15, nel gioco ""solo se insieme"" sceglievo il mini tesoro quando le monete erano più di 10","Adults"
"1619","8728567","Question_3","No","Adults"
"1620","8728567","Question_5","8","Adults"
"1621","8728567","Question_6","8","Adults"
"1622","8728567","Question_7","2","Adults"
"1623","8728567","Question_8","8","Adults"
"1624","8728573","Question_1","Sì","Adults"
"1625","8728573","Question_2","In base al numero che c'era nelle sacche, ho preso la decisione di sceglierne una al posto che l'altra  ","Adults"
"1626","8728573","Question_3","Sì","Adults"
"1627","8728573","Question_4","in base al numero che era nelle sacche, ho preso la mia decisione pensando a cosa avesse risposto l'altra persona ","Adults"
"1628","8728573","Question_5","7","Adults"
"1629","8728573","Question_6","4","Adults"
"1630","8728573","Question_7","6","Adults"
"1631","8728573","Question_8","6","Adults"
"1632","8728622","Question_1","Sì","Adults"
"1633","8728622","Question_2","nel gioco solo se insieme sapevo che anche il mio compagno conosceva le regole e avevo più possibilità di prendere il super tesoro, mentre nel gioco solo se a caso era questione solo di probabilità","Adults"
"1634","8728622","Question_3","Sì","Adults"
"1635","8728622","Question_4","nel gioco solo se soli c'era meno probabilità","Adults"
"1636","8728622","Question_5","10","Adults"
"1637","8728622","Question_6","8","Adults"
"1638","8728622","Question_7","10","Adults"
"1639","8728622","Question_8","8","Adults"
"1640","8728634","Question_1","Sì","Adults"
"1641","8728634","Question_2","Nel gioco ""solo se a caso"", ho scelto solo ed esclusivamente in base alla quantità di monete presenti nel sacco e capendo se fosse conveniente ""rischiare"", invece nel gioco ""solo se insieme"" ho cercato di fare delle scelte , immaginando quale fosse la risposta più probabile del'altro giocatore.","Adults"
"1642","8728634","Question_3","Sì","Adults"
"1643","8728634","Question_4","la risposta è la stessa dellla precedente, ma in questo caso nei due giochi ho ragionato tenendo in considerazione solo il mio istinto.","Adults"
"1644","8728634","Question_5","5","Adults"
"1645","8728634","Question_6","5","Adults"
"1646","8728634","Question_7","10","Adults"
"1647","8728634","Question_8","5","Adults"
"1648","8728583","Question_1","Sì","Adults"
"1649","8728583","Question_2","ho valutato se anche l'altra persona potesse aver valutato una scelta più vamtaggiosa rispetto ad un altra","Adults"
"1650","8728583","Question_3","Sì","Adults"
"1651","8728583","Question_4","ho cercato di immaginare quale fosse la scelta dell'altro","Adults"
"1652","8728583","Question_5","9","Adults"
"1653","8728583","Question_6","6","Adults"
"1654","8728583","Question_7","9","Adults"
"1655","8728583","Question_8","7","Adults"
"1656","8728621","Question_1","Sì","Adults"
"1657","8728621","Question_2","nel gioco solo se insieme ho provato a ragionare come l'altra persona","Adults"
"1658","8728621","Question_3","No","Adults"
"1659","8728621","Question_5","3","Adults"
"1660","8728621","Question_6","10","Adults"
"1661","8728621","Question_7","4","Adults"
"1662","8728621","Question_8","7","Adults"
"1663","8728568","Question_1","Sì","Adults"
"1664","8728568","Question_2","in ""solo se a caso"" ho ragionato in base a come funziona la fortuna e ho agito in maniera più casuale, in ""solo se insieme"" ho agito pensando come l'altra persona in modo da vincere più spesso rispetto a lei. alla fine il meccanismo è stato simile per entrambi","Adults"
"1665","8728568","Question_3","Sì","Adults"
"1666","8728568","Question_4","per il medesimo motivo precedente","Adults"
"1667","8728568","Question_5","10","Adults"
"1668","8728568","Question_6","0","Adults"
"1669","8728568","Question_7","10","Adults"
"1670","8728568","Question_8","3","Adults"
"1671","8728623","Question_1","Sì","Adults"
"1672","8728623","Question_2","nel caso della scatola del caso la probabilità di ottenere il super tesoro è del 50% ma non è in alcun modo influenzato dalla logica di un'altra persona, quindi è sempre ""oggettivo"". nel caso dell'altra persona, tra un 11 e un 15 si è mediamente più predisposti a scegliere l'11, perchè è un tesoro certo e non cambia di molto. in queste situazioni, ho scelto il mini tesoro e il super alternando le scelte, così da non correre troppo rischio ma avvantaggiarmi nel caso fosse possibile. Nel caso del gioco della scatola invece, ho scelto sempre il mini tesoro in un caso in cui fosse abbastanza alto il valore della sacca.","Adults"
"1673","8728623","Question_3","Non so","Adults"
"1674","8728623","Question_5","10","Adults"
"1675","8728623","Question_6","0","Adults"
"1676","8728623","Question_7","7","Adults"
"1677","8728623","Question_8","9","Adults"
"1678","8728589","Question_1","No","Adults"
"1679","8728589","Question_3","No","Adults"
"1680","8728589","Question_5","7","Adults"
"1681","8728589","Question_6","4","Adults"
"1682","8728589","Question_7","8","Adults"
"1683","8728589","Question_8","3","Adults"
"1684","8728565","Question_1","No","Adults"
"1685","8728565","Question_3","No","Adults"
"1686","8728565","Question_5","5","Adults"
"1687","8728565","Question_6","4","Adults"
"1688","8728565","Question_7","9","Adults"
"1689","8728565","Question_8","2","Adults"
"1690","8728572","Question_1","Sì","Adults"
"1691","8728572","Question_2","nel gioco solo se insieme ho sempre scelto il premio più grande poichè l'obiettivo di entrambi i giocatori è quello di ottenere più monete, in solo se a caso ho variato la scelta dei sacchi selezionando il montepremi più alto solo se ne valeva la pena quindi se il minipremio conteneva davvero poche monete","Adults"
"1692","8728572","Question_3","Sì","Adults"
"1693","8728572","Question_4","In solo se soli ho selezionato più volte il minipremio, sempre sicuro, poichè non so cosa aspettarmi dall'altro giocatore. L'idea di fondo però resta simile a quella di solo se a caso: se ne vale la pena (minipremio davvero basso) seleziono il premio più alto","Adults"
"1694","8728572","Question_5","10","Adults"
"1695","8728572","Question_6","10","Adults"
"1696","8728572","Question_7","10","Adults"
"1697","8728572","Question_8","0","Adults"
"1698","8728574","Question_1","No","Adults"
"1699","8728574","Question_3","No","Adults"
"1700","8728574","Question_5","7","Adults"
"1701","8728574","Question_6","7","Adults"
"1702","8728574","Question_7","8","Adults"
"1703","8728574","Question_8","8","Adults"
"1704","8728578","Question_1","Sì","Adults"
"1705","8728578","Question_2","Nel ""solo se insieme"" ho sempre scelto le quindici monete perchè avevo più probabilità che anche l'altra persona le scegliesse. Nel gioco ""solo se a caso"" ho variato le mie risposte caso per caso.","Adults"
"1706","8728578","Question_3","No","Adults"
"1707","8728578","Question_5","10","Adults"
"1708","8728578","Question_6","10","Adults"
"1709","8728578","Question_7","8","Adults"
"1710","8728578","Question_8","10","Adults"
"1711","8728582","Question_1","No","Adults"
"1712","8728582","Question_3","No","Adults"
"1713","8728582","Question_5","8","Adults"
"1714","8728582","Question_6","8","Adults"
"1715","8728582","Question_7","7","Adults"
